Region,Subregion,UNODC Name,Source,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Americas,South America,French Guiana,NP,,,,, 29.6 , 22.1 , 19.9 , 12.9 , 14.4 , 13.2 ,,,,,,,
Americas,South America,Guyana,OAS/CTS/NSO, 10.1 , 10.6 , 19.0 , 27.8 , 17.4 , 18.9 , 20.4 , 15.4 , 21.2 , 15.7 , 18.8 , 17.4 , 18.5 , 20.4 , 19.5 , 19.4 , 18.4
Americas,South America,Paraguay,OAS/CTS, 18.8 , 24.3 , 24.9 , 22.9 , 21.2 , 15.3 , 12.6 , 13.1 , 13.8 , 13.4 , 11.9 , 10.4 , 10.2 , 9.3 , 8.8 , 9.3 ,
Americas,South America,Peru,CTS,,,,,,,,,,,, 5.4 , 6.5 , 6.6 , 6.7 , 7.2 , 7.7
Americas,South America,Suriname,OAS, 14.4 , 16.5 , 11.8 , 12.3 , 9.3 , 13.8 , 12.3 , 8.8 , 8.3 ,,,,,,,,
Americas,South America,Uruguay,MOI/CTS, 6.4 , 6.6 , 6.9 , 5.9 , 6.0 , 5.7 , 6.1 , 5.8 , 6.6 , 6.7 , 6.1 , 5.9 , 7.9 , 7.6 , 7.8 , 8.5 , 7.7
Americas,South America,Venezuela (Bolivarian Republic of),UNSDC/NGO/OAS/AG, 32.8 , 31.9 , 37.8 , 43.8 , 36.9 , 37.2 , 45.0 , 47.5 , 51.8 , 48.9 , 45.1 , 47.8 , 53.8 ,, 61.9 ,, 56.3
Asia,Central Asia,Kazakhstan*,TSMNEE/CTS, 15.4 , 14.4 , 13.0 , 13.1 , 13.6 ,,,, 11.3 , 10.9 , 8.5 , 8.5 , 7.5 , 6.5 , 5.2 , 4.8 ,
Asia,Central Asia,Kyrgyzstan,UNECE/CTS, 8.7 , 7.8 , 8.2 , 8.4 , 8.3 , 8.3 , 8.2 , 8.2 , 8.2 , 7.8 , 19.8 , 9.0 , 5.4 , 3.6 , 3.7 , 5.2 , 4.5
Asia,Central Asia,Tajikistan,TSMNEE/CTS, 4.6 , 3.7 , 2.8 , 2.5 , 2.1 , 2.3 , 2.8 , 1.8 , 1.4 , 1.3 , 2.4 , 1.6 ,,,,,
Asia,Central Asia,Turkmenistan,TSMNEE, 5.9 , 5.4 , 5.2 , 5.0 , 4.4 , 4.3 , 4.2 ,,,,,,,,,,
Asia,Central Asia,Uzbekistan,TSMNEE/NSO, 4.3 , 4.3 , 4.1 , 3.7 , 3.7 , 3.4 , 3.2 , 3.0 , 3.0 ,,,,,,,,
Asia,Eastern Asia,China,NSO Adjusted/NSO, 2.1 , 2.0 , 2.0 , 1.9 , 1.9 , 1.6 , 1.4 , 1.2 , 1.1 , 1.1 , 1.0 , 0.9 , 0.8 , 0.8 , 0.7 , 0.7 , 0.6
Asia,Eastern Asia,China. Hong Kong Special Administrative Region,UNSDC/NP/CTS, 0.6 , 1.0 , 1.0 , 0.8 , 0.7 , 0.5 , 0.5 , 0.3 , 0.5 , 0.7 , 0.5 , 0.2 , 0.4 , 0.9 , 0.4 , 0.3 , 0.4
Asia,Eastern Asia,China. Macao Special Administrative Region,NP/CTS, 2.3 , 1.8 , 0.4 , 1.7 , 0.8 , 0.8 , 2.0 , 1.2 , 0.8 , 1.1 , 0.4 , 0.7 , 0.7 , 0.2 , -   , 0.2 , 0.2
Asia,Eastern Asia,China. Taiwan Province of China,SDG,, 1.4 ,,,,, 1.0 , 0.8 , 0.8 , 0.8 , 0.8 ,, 0.8 , 0.7 ,, 0.8 ,
Asia,Eastern Asia,Democratic People's Republic of Korea###,WHO Estimate, 6.6 ,,,,, 5.0 ,,,,, 4.8 ,,,,, 4.4 ,
Asia,Eastern Asia,Japan,SDG/CTS, 0.5 , 0.5 , 0.5 , 0.5 , 0.5 , 0.5 , 0.5 , 0.4 , 0.5 , 0.4 , 0.4 , 0.3 , 0.3 , 0.3 , 0.3 , 0.3 , 0.3
Asia,Eastern Asia,Mongolia,CTS,,,, 13.9 , 13.3 , 15.8 , 13.1 , 11.3 , 8.1 , 8.2 , 8.8 , 9.6 , 7.1 , 7.1 , 7.3 , 6.2 , 5.7
Asia,Eastern Asia,Republic of Korea,UNSDC/NP/CTS,,,,,,,,,,,, 0.9 , 0.8 , 0.7 , 0.7 , 0.7 , 0.7
Asia,South-Eastern Asia,Brunei Darussalam,WHO/MD, 1.2 ,,, 0.8 , 0.6 , 0.5 , 0.8 , 0.8 , 0.3 , 0.8 , 0.3 , 0.3 , 1.0 , 0.5 ,,,
Asia,South-Eastern Asia,Cambodia,JP/WHO, 4.7 , 3.3 , 3.4 , 4.0 , 3.9 , 3.4 , 3.0 , 2.9 , 2.4 , 2.3 , 2.3 , 1.8 ,,,,,
Asia,South-Eastern Asia,Indonesia,UNSDC/INTP/CTS, 1.0 ,,, 0.7 , 0.6 ,,,, 0.6 , 0.5 , 0.4 , 0.6 , 0.6 , 0.5 , 0.5 , 0.6 , 0.5
Asia,South-Eastern Asia,Lao People's Democratic Republic,WHO Estimate, 10.7 ,,,,, 9.6 ,,,,, 8.0 ,,,,, 7.0 ,
Asia,South-Eastern Asia,Malaysia,UNSDC/WHO/NP, 2.4 , 2.2 , 2.3 , 2.3 , 2.0 , 2.4 , 2.2 , 2.4 , 2.2 , 2.0 , 1.9 , 1.9 , 2.1 , 2.1 ,,,
Asia,South-Eastern Asia,Myanmar,NSO/CTS, 2.3 , 2.0 , 1.7 , 1.6 , 1.5 , 1.4 , 1.6 , 1.5 , 1.6 , 1.8 , 1.6 , 2.1 , 2.8 , 2.4 , 2.4 , 2.2 , 2.3
Asia,South-Eastern Asia,Philippines*,UNSDC/CTS/NSO, 7.4 , 7.3 , 8.1 , 7.8 , 7.5 , 7.5 , 7.1 , 6.7 , 6.4 , 9.9 , 9.5 , 9.1 , 8.8 , 9.3 , 9.7 , 9.5 , 11.0
